,x,pos,neg,neu
0,2007,0.28169014084507044,0.0,0.7183098591549295
1,2008,0.5298701298701298,0.0,0.4701298701298702
2,2009,0.4855438869441203,0.0,0.5144561130558797
3,2010,0.4649522045878379,0.0,0.5350477954121621
4,2011,0.4591457934430073,0.0,0.5408542065569927
5,2012,0.45842385197393065,0.0,0.5415761480260693
6,2013,0.47321972271006346,0.0,0.5267802772899366
7,2014,0.47169995129079395,0.0,0.528300048709206
8,2015,0.45857229449340237,0.0,0.5414277055065977
9,2016,0.4535805023046565,0.0,0.5464194976953435
10,2017,0.43159056095809845,0.0,0.5684094390419016
11,2018,0.4048688665742749,0.0,0.5951311334257251
12,2019,0.3974246740144845,0.0,0.6025753259855156
