,x,pos,neg,neu
0,2007,0.4224021592442645,0.17498875393612237,0.40260908681961316
1,2008,0.41230812961910174,0.16969869243888572,0.4179931779420125
2,2009,0.42949204814840386,0.15560772399825082,0.41490022785334524
3,2010,0.4149148741873943,0.1752696630229383,0.4098154627896674
4,2011,0.3973474827843858,0.17653829843090532,0.4261142187847089
5,2012,0.3959605460012378,0.16628330271294975,0.43775615128581236
6,2013,0.38825725417490786,0.1644975654975242,0.44724518032756794
7,2014,0.37603807035550996,0.16130000689680354,0.46266192274768647
8,2015,0.3872269258436451,0.16299693426250972,0.44977613989384513
9,2016,0.3565167156145051,0.1762940391078559,0.46718924527763905
10,2017,0.3117801488810134,0.1988903646775971,0.4893294864413894
11,2018,0.29680167037259586,0.1994645451861756,0.5037337844412285
12,2019,0.2888366284203879,0.19284347215786943,0.5183198994217427
