,x,pos,neg,neu
0,2007,0.323943661971831,0.11267605633802817,0.5633802816901409
1,2008,0.4883116883116883,0.15584415584415584,0.3558441558441559
2,2009,0.4797095812265007,0.1455119063053719,0.37477851246812743
3,2010,0.4121881561273327,0.18320053207443826,0.404611311798229
4,2011,0.41938572154272985,0.16570278613575085,0.41491149232151925
5,2012,0.397801333433216,0.17302794216795264,0.42917072439883136
6,2013,0.33975518705156604,0.22370290616091995,0.43654190678751403
7,2014,0.3375622915808011,0.22321555697103676,0.4392221514481621
8,2015,0.357089569636779,0.20677328608507795,0.436137144278143
9,2016,0.3465470320643496,0.21149114790974183,0.4419618200259086
10,2017,0.33300915960075844,0.21139639951323155,0.45559444088601
11,2018,0.318748324394406,0.20775097912106774,0.4735006964845262
12,2019,0.32076505705756847,0.20341664649807623,0.47581829644435536
