,x,pos,neg,neu
0,2007,0.4827586206896552,0.0,0.5172413793103448
1,2008,0.375,0.0,0.625
2,2009,0.39274924471299094,0.0,0.607250755287009
3,2010,0.45866666666666667,0.0,0.5413333333333333
4,2011,0.4335368717707844,0.0,0.5664631282292156
5,2012,0.4198940748096657,0.0,0.5801059251903343
6,2013,0.4132479875860731,0.0,0.5867520124139269
7,2014,0.4056904586705911,0.0,0.5943095413294088
8,2015,0.43102016897006395,0.0,0.5689798310299361
9,2016,0.409248904337313,0.0,0.590751095662687
10,2017,0.3933440241047126,0.0,0.6066559758952874
11,2018,0.36517473456293126,0.0,0.6348252654370687
12,2019,0.35305122948461437,0.0,0.6469487705153856
