,x,pos,neg,neu
0,2007,0.2966507177033493,0.0,0.7033492822966507
1,2008,0.445013558300693,0.0,0.554986441699307
2,2009,0.4471464019851117,0.0,0.5528535980148883
3,2010,0.45236082061323485,0.0,0.5476391793867652
4,2011,0.4424659103930331,0.0,0.5575340896069669
5,2012,0.42672263687445294,0.0,0.573277363125547
6,2013,0.43740367284031245,0.0,0.5625963271596875
7,2014,0.45304053107756087,0.0,0.5469594689224391
8,2015,0.47018257850128814,0.0,0.5298174214987119
9,2016,0.45008617407856033,0.0,0.5499138259214397
10,2017,0.4341955804633334,0.0,0.5658044195366666
11,2018,0.4127077949492202,0.0,0.5872922050507798
12,2019,0.39782388346380476,0.0,0.6021761165361952
