,x,pos,neg,neu
0,2007,0.5,0.06896551724137931,0.43103448275862066
1,2008,0.425,0.065,0.51
2,2009,0.4984894259818731,0.030211480362537766,0.47129909365558914
3,2010,0.49244444444444446,0.10844444444444444,0.3991111111111111
4,2011,0.4344762799436355,0.11789572569281352,0.447627994363551
5,2012,0.4016881827209533,0.14829526646805694,0.4500165508109898
6,2013,0.40587721850450975,0.13616526040151294,0.4579575210939773
7,2014,0.4069168506254599,0.1382879568310032,0.4547951925435369
8,2015,0.4675001220881965,0.11354202275723983,0.4189578551545637
9,2016,0.42483376152334895,0.13119616140244825,0.4439700770742028
10,2017,0.3628947399075106,0.1689853733163006,0.46811988677618876
11,2018,0.33395651504311263,0.17725133327744844,0.4887921516794389
12,2019,0.31446759049950435,0.1868961288127011,0.49863628068779453
