,x,pos,neg,neu
0,2007,0.3397129186602871,0.1722488038277512,0.4880382775119617
1,2008,0.3663754142814101,0.20608617053329317,0.4275384151852968
2,2009,0.38858560794044666,0.1803970223325062,0.4310173697270472
3,2010,0.40056072270926973,0.1743580615014908,0.4250812157892394
4,2011,0.39376647186891256,0.17224704938696,0.43398647874412744
5,2012,0.3716999068208985,0.1836193021920619,0.4446807909870396
6,2013,0.3863796661529218,0.17316684517123376,0.4404534886758445
7,2014,0.38964734881375873,0.17431444497353016,0.4360382062127111
8,2015,0.3675353769181944,0.19892469103535826,0.43353993204644736
9,2016,0.3554898771413739,0.1983069735248313,0.4462031493337948
10,2017,0.3621389669172694,0.1860423415364859,0.45181869154624466
11,2018,0.3413277720887056,0.1873862175183694,0.47128601039292506
12,2019,0.3221804044024372,0.19528813313482823,0.48253146246273454
