,x,pos,neg,neu
0,2007,0.4745838956365272,0.0,0.5254161043634729
1,2008,0.4634735645252985,0.0,0.5365264354747015
2,2009,0.4568574650739948,0.0,0.5431425349260053
3,2010,0.467726331588322,0.0,0.532273668411678
4,2011,0.45590076536279006,0.0,0.54409923463721
5,2012,0.4509748977831492,0.0,0.5490251022168509
6,2013,0.43683257690136706,0.0,0.563167423098633
7,2014,0.4193662243246204,0.0,0.5806337756753797
8,2015,0.42705201315249036,0.0,0.5729479868475096
9,2016,0.4085175437400281,0.0,0.5914824562599719
10,2017,0.3842098578863054,0.0,0.6157901421136946
11,2018,0.37017125681624946,0.0,0.6298287431837506
12,2019,0.35072904785630027,0.0,0.6492709521436997
