,SEVERE_TOXICITY,SEVERE_TOXICITY_dyu,SEVERE_TOXICITY_dyd,engage
0,0.21564902843874897,0.21757904384771717,0.21390223563995855,1
1,0.22594361744555663,0.22814459814903634,0.22373797403679288,2_3
2,0.2425625566289251,0.24504774256240178,0.23995999234236368,4_9
3,0.24659161305365043,0.24917524148864975,0.24412870924298458,10
