,year,sadness,sadness_dyu,sadness_dyd,independence,independence_dyu,independence_dyd,positive_emotion,positive_emotion_dyu,positive_emotion_dyd,family,family_dyu,family_dyd,negative_emotion,negative_emotion_dyu,negative_emotion_dyd,government,government_dyu,government_dyd,love,love_dyu,love_dyd,ridicule,ridicule_dyu,ridicule_dyd,masculine,masculine_dyu,masculine_dyd,feminine,feminine_dyu,feminine_dyd,violence,violence_dyu,violence_dyd,suffering,suffering_dyu,suffering_dyd,dispute,dispute_dyu,dispute_dyd,anger,anger_dyu,anger_dyd,envy,envy_dyu,envy_dyd,work,work_dyu,work_dyd,politics,politics_dyu,politics_dyd,terrorism,terrorism_dyu,terrorism_dyd,shame,shame_dyu,shame_dyd,confusion,confusion_dyu,confusion_dyd,hate,hate_dyu,hate_dyd
0,2006-2012,0.0011470919624492033,0.0011978287502962543,0.001096142301463857,0.0005059483899327307,0.0005371519666134804,0.00047631915012591626,0.0048160331425865744,0.004913244506967452,0.00470182381272338,0.002978679875125353,0.003062696136349751,0.0028914031638484334,0.014713214770860553,0.014937085207931645,0.01448413381484789,0.0029152786400212845,0.002997745638274287,0.0028343756975272205,0.001668153184581661,0.0017378868213452957,0.0016039460561364511,0.00303818049796758,0.003149754938999177,0.0029332611848089025,0.002343776417263111,0.002431019142205931,0.002254511225203633,0.0011256575560090016,0.001182076027880984,0.0010684271449342493,0.005265218317560507,0.005388442315442477,0.005153681022566888,0.003154212890671616,0.0032482332486100016,0.003061215956723113,0.0032978908760248893,0.003373000119159563,0.0032287950124078773,0.0007117517262238287,0.0007570716797569451,0.0006733583722694804,0.002049851698879383,0.002150112556273031,0.0019487147325031157,0.0012945923880370923,0.0013517166454153492,0.0012366357653849978,0.0025742090742074597,0.002661955240859219,0.002484422264783591,0.001505140024775151,0.001570120977411324,0.0014431867233904736,0.001872163619097812,0.001942595508144493,0.0018028506756641175,0.0020515893119844907,0.0021178585958444816,0.001986065422084859,0.005843532188240576,0.006008346825056288,0.005683658437175292
1,2013-2015,0.0012872883435110128,0.0013207774052558532,0.00125394839812325,0.002214148298229447,0.002272762917438764,0.0021528106309266584,0.004938861747934005,0.005016509087626104,0.004875361214893496,0.002212944655724164,0.0022599877275662574,0.0021671778530665,0.01750274063600401,0.017663767948235227,0.017339777841594104,0.0026961811921972544,0.0027494988606482597,0.002642824541851114,0.0020498541432182158,0.0020945366154531643,0.0020032507826518342,0.004172392400166379,0.004268513662721752,0.0040765143930513795,0.003335439757731971,0.003396251051500334,0.00327135220964181,0.002624276802323928,0.0026913239666748945,0.0025624175620227413,0.0056779517446058836,0.0057603690993875325,0.005595604493178246,0.003305544776531987,0.003369540898304415,0.003243531674371656,0.0030563215895870613,0.003104853845089723,0.003006298284289141,0.0007821286174679949,0.0008136517904258696,0.000753669923977884,0.00236783987714334,0.0024378674256310497,0.002300595578806902,0.0012165227152058067,0.0012476764885045219,0.0011844839097303042,0.002223225986111439,0.002274335572481065,0.0021731709806145126,0.001623557320458781,0.0016717034213704193,0.0015789689606788475,0.002370716226961538,0.0024234249003207966,0.002315262231126186,0.0020588807072325147,0.002101830026810311,0.0020132280409826545,0.007273453651943026,0.007386457952766298,0.007164096978017846
2,2016,0.0011504665676227252,0.0011721101364801745,0.0011306602169525724,0.0022602451238904393,0.0023001807146925918,0.002223864586273605,0.005095056954304798,0.0051397132645656825,0.005053249159179504,0.002165385269933308,0.0021955246100300763,0.002137178528521751,0.01856256530578393,0.018664303037341685,0.018457562770231303,0.002714584116030232,0.002745972026205354,0.0026855093883862585,0.0021384573347764373,0.0021693274392218446,0.0021107523573861936,0.0042790659970073685,0.004333821324028543,0.004219745581657226,0.00367130291879148,0.0037142645924740304,0.00363239431131669,0.003011165279628277,0.0030502924697014253,0.0029706222725193916,0.005342898239174229,0.0053904294676809525,0.005295347906718818,0.003138478949901046,0.003177153122003541,0.0030984677734432176,0.002795370538908258,0.002824852634453247,0.002766235468162658,0.0006196519220100445,0.0006339089893217331,0.0006034421149319539,0.002536834755553745,0.002581456106504485,0.0024956837073011836,0.001411650926269769,0.0014335193631000805,0.0013904470642230942,0.002394285086474459,0.0024259533535817435,0.002362754062543838,0.0015680980455018963,0.0015961386659883905,0.0015395741595995126,0.0023568505211905605,0.0023889553601664218,0.0023233327457061327,0.0019797573768735427,0.002005721978487346,0.0019526170025246314,0.00738097930498745,0.007447382597287929,0.007314065697532089
3,2017,0.0010926438247150156,0.0010926438247150156,0.0010926438247150156,0.0031293467351403894,0.0031293467351403894,0.0031293467351403894,0.0047830951858976855,0.0047830951858976855,0.0047830951858976855,0.00228684796200494,0.00228684796200494,0.00228684796200494,0.016061740249883622,0.016061740249883622,0.016061740249883622,0.00296989712454874,0.00296989712454874,0.00296989712454874,0.002033183374418315,0.002033183374418315,0.002033183374418315,0.003478699356331318,0.003478699356331318,0.003478699356331318,0.003370826560010938,0.003370826560010938,0.003370826560010938,0.0024429743877495687,0.0024429743877495687,0.0024429743877495687,0.0047310902406456235,0.0047310902406456235,0.0047310902406456235,0.0027936160456595665,0.0027936160456595665,0.0027936160456595665,0.0026485094937487895,0.0026485094937487895,0.0026485094937487895,0.0005852587993576877,0.0005852587993576877,0.0005852587993576877,0.002226118495405894,0.002226118495405894,0.002226118495405894,0.0015054857779074544,0.0015054857779074544,0.0015054857779074544,0.002462001215180021,0.002462001215180021,0.002462001215180021,0.0015841818084694453,0.0015841818084694453,0.0015841818084694453,0.0021362075828709856,0.0021362075828709856,0.0021362075828709856,0.0017854186404458686,0.0017854186404458686,0.0017854186404458686,0.006485400588730912,0.006485400588730912,0.006485400588730912
4,2018,0.0011538933619638894,0.0011538933619638894,0.0011538933619638894,0.0013462050963320114,0.0013462050963320114,0.0013462050963320114,0.00503916889245049,0.00503916889245049,0.00503916889245049,0.0024741425587452293,0.0024741425587452293,0.0024741425587452293,0.015798377379735582,0.015798377379735582,0.015798377379735582,0.0032408040196126764,0.0032408040196126764,0.0032408040196126764,0.0020142973055478123,0.0020142973055478123,0.0020142973055478123,0.0034030858553176454,0.0034030858553176454,0.0034030858553176454,0.003856347340776722,0.003856347340776722,0.003856347340776722,0.0027206887990116617,0.0027206887990116617,0.0027206887990116617,0.0048086387257823375,0.0048086387257823375,0.0048086387257823375,0.002846601136565094,0.002846601136565094,0.002846601136565094,0.0026037662977769307,0.0026037662977769307,0.0026037662977769307,0.000632196445780525,0.000632196445780525,0.000632196445780525,0.0023504651527230043,0.0023504651527230043,0.0023504651527230043,0.0015537659708339167,0.0015537659708339167,0.0015537659708339167,0.0027955155527053365,0.0027955155527053365,0.0027955155527053365,0.0014400544695870757,0.0014400544695870757,0.0014400544695870757,0.002282304007742431,0.002282304007742431,0.002282304007742431,0.0017189401867642143,0.0017189401867642143,0.0017189401867642143,0.006819784539694668,0.006819784539694668,0.006819784539694668
