,year,sadness,sadness_dyu,sadness_dyd,independence,independence_dyu,independence_dyd,positive_emotion,positive_emotion_dyu,positive_emotion_dyd,family,family_dyu,family_dyd,negative_emotion,negative_emotion_dyu,negative_emotion_dyd,government,government_dyu,government_dyd,love,love_dyu,love_dyd,ridicule,ridicule_dyu,ridicule_dyd,masculine,masculine_dyu,masculine_dyd,feminine,feminine_dyu,feminine_dyd,violence,violence_dyu,violence_dyd,suffering,suffering_dyu,suffering_dyd,dispute,dispute_dyu,dispute_dyd,anger,anger_dyu,anger_dyd,envy,envy_dyu,envy_dyd,work,work_dyu,work_dyd,politics,politics_dyu,politics_dyd,terrorism,terrorism_dyu,terrorism_dyd,shame,shame_dyu,shame_dyd,confusion,confusion_dyu,confusion_dyd,hate,hate_dyu,hate_dyd
0,2006-2012,0.0009678190759559408,0.0009968197675962066,0.0009402394476803775,0.0004784496984376354,0.0004961510242508071,0.0004613428367670298,0.004977867629524108,0.005045681094124525,0.004914014854897613,0.00217207813605488,0.0022206979230302475,0.0021193591305950963,0.01824954873775888,0.018416089214403276,0.018074234666510217,0.002434674955556939,0.002477528091207047,0.002390610727956172,0.0019680975901728917,0.0020182605475633068,0.0019227857010726762,0.005041132512456041,0.005149987515803471,0.004927380956872906,0.00341500515063579,0.0034827506625162994,0.0033427626107737367,0.0017450435521664037,0.0017965497219630485,0.0016954286325674543,0.004758515537393144,0.0048427013566992635,0.00468768727157776,0.002715092888810565,0.0027697366752593836,0.0026521881719810637,0.00235809118105341,0.002397753557985357,0.002320230518308058,0.0004841775264386726,0.0005057191713065605,0.0004620057409760158,0.0015476258931060901,0.001598867844009815,0.0014965444797588512,0.0016443270512141754,0.0016785001842108066,0.0016109485354903468,0.0018069095770740392,0.001849146809287254,0.0017674374597446859,0.0009344300976561346,0.0009642863065744171,0.0009059000345392769,0.002236256991445192,0.0022880702304807115,0.0021861167142056444,0.001746659604483042,0.0017862621245722965,0.0017082625850016228,0.005762623022200261,0.0058645426453745745,0.005668842775273998
1,2013-2015,0.0009839939215205394,0.0010093943524213324,0.0009599792035708894,0.0005684655088382604,0.0005873034067936805,0.0005505795839434843,0.004805932308125767,0.004857008248941103,0.0047486114597260366,0.002176035283195581,0.0022168660921072286,0.002135581724030465,0.019437186704204336,0.019589157983118284,0.019284016002900514,0.002153524494117389,0.0021897014734093222,0.0021189555285637107,0.0020589195209564657,0.0020982996637398162,0.0020192475452355148,0.0052816096449088065,0.0053796438006746125,0.00519108273645197,0.0038269450117191894,0.0038874795216744707,0.003772701045002078,0.002280457641954282,0.0023309000447626457,0.002232669811010884,0.005087045980934201,0.005154740004977987,0.005025370102278513,0.002981255324680917,0.003030904820530705,0.0029354779256497345,0.0022171755748365642,0.0022472612479177137,0.002186303873954745,0.0005347952668584776,0.0005554481436285739,0.0005156074090888217,0.0016313351281943592,0.001677701446107038,0.0015892709570721562,0.001614779775304512,0.001646413501267655,0.0015851247179756243,0.0014632073893599625,0.0014943366112184556,0.0014363117696129413,0.0010717480582775058,0.001103002112797633,0.0010435104791838303,0.0022695898702449527,0.0023159693695083807,0.0022291730644266768,0.0017384258683154237,0.0017733501265211182,0.001708531554313529,0.0065020144936480465,0.006592406338354379,0.006416804976563444
2,2016,0.0013948447244937169,0.0014557870644401974,0.0013417219885377366,0.0006080476087738905,0.0006369838438546114,0.0005800181322957223,0.004962571419355328,0.005049158543014338,0.00488874983508962,0.0023401798243432954,0.0023994459454316367,0.0022816471674241673,0.02142709818388826,0.021659364792268668,0.02120644309313653,0.0024860157561756202,0.002550766929390171,0.002418269459551831,0.0020356949021486034,0.00209557514641058,0.0019829588623043043,0.005170100834211655,0.005306128468724079,0.0050301582901307665,0.0038154191686695874,0.0038921842349812145,0.0037369215914327724,0.0029269313201794296,0.0029966164750321093,0.0028516993629248105,0.005329454210961434,0.005424965292549121,0.005244927654610391,0.0032354311191391694,0.0033104100321679317,0.0031561891118539603,0.0018359763374072315,0.001879075000124863,0.001793614210822929,0.0008275520003545024,0.0008721206101862511,0.0007870583760174978,0.0015538086279489505,0.0016137696204624069,0.0014949431108085014,0.0015152904213559088,0.0015585451539541233,0.0014703935495767064,0.0017537504520263483,0.0018078604411496848,0.0017025651262599492,0.0018515112830254123,0.0019123097981962097,0.0017895828843665848,0.0028381660395997168,0.0029202829427156358,0.0027666892579910193,0.0018639509364058243,0.0019105818986956359,0.0018165901913921151,0.007291484181017293,0.00745351115863662,0.00714378860193241
3,2017,0.0011747415269668313,0.0011747415269668313,0.0011747415269668313,0.0004192956940137624,0.0004192956940137624,0.0004192956940137624,0.004830017042885675,0.004830017042885675,0.004830017042885675,0.002408206565545657,0.002408206565545657,0.002408206565545657,0.019199574019024144,0.019199574019024144,0.019199574019024144,0.002870518055088803,0.002870518055088803,0.002870518055088803,0.0016601125124621862,0.0016601125124621862,0.0016601125124621862,0.004838743359823594,0.004838743359823594,0.004838743359823594,0.0029649124998133536,0.0029649124998133536,0.0029649124998133536,0.0015737472327836271,0.0015737472327836271,0.0015737472327836271,0.005072783399966166,0.005072783399966166,0.005072783399966166,0.0033057846286534613,0.0033057846286534613,0.0033057846286534613,0.0017641638207081573,0.0017641638207081573,0.0017641638207081573,0.0006813239424624025,0.0006813239424624025,0.0006813239424624025,0.0015213714731955956,0.0015213714731955956,0.0015213714731955956,0.0017677736160388936,0.0017677736160388936,0.0017677736160388936,0.0023025858439017642,0.0023025858439017642,0.0023025858439017642,0.0018722401479744884,0.0018722401479744884,0.0018722401479744884,0.002510826974413749,0.002510826974413749,0.002510826974413749,0.0016269852953659312,0.0016269852953659312,0.0016269852953659312,0.006702834794118638,0.006702834794118638,0.006702834794118638
4,2018,0.0012822120053161124,0.0012822120053161124,0.0012822120053161124,0.00043366283388914347,0.00043366283388914347,0.00043366283388914347,0.004503211374002135,0.004503211374002135,0.004503211374002135,0.002473610120451904,0.002473610120451904,0.002473610120451904,0.01582309377853233,0.01582309377853233,0.01582309377853233,0.00324967531957086,0.00324967531957086,0.00324967531957086,0.0015833307448043584,0.0015833307448043584,0.0015833307448043584,0.004596144398601469,0.004596144398601469,0.004596144398601469,0.002834437828547656,0.002834437828547656,0.002834437828547656,0.001516257789385514,0.001516257789385514,0.001516257789385514,0.004274783893860914,0.004274783893860914,0.004274783893860914,0.002662511150542232,0.002662511150542232,0.002662511150542232,0.0018508716552448658,0.0018508716552448658,0.0018508716552448658,0.0007108084437498979,0.0007108084437498979,0.0007108084437498979,0.0014818825348727363,0.0014818825348727363,0.0014818825348727363,0.002038495854814187,0.002038495854814187,0.002038495854814187,0.0024409794028286964,0.0024409794028286964,0.0024409794028286964,0.0018244851582769504,0.0018244851582769504,0.0018244851582769504,0.002703551398656872,0.002703551398656872,0.002703551398656872,0.0014139595743339864,0.0014139595743339864,0.0014139595743339864,0.006191508852236414,0.006191508852236414,0.006191508852236414
