,year,sadness,sadness_dyu,sadness_dyd,independence,independence_dyu,independence_dyd,positive_emotion,positive_emotion_dyu,positive_emotion_dyd,family,family_dyu,family_dyd,negative_emotion,negative_emotion_dyu,negative_emotion_dyd,government,government_dyu,government_dyd,love,love_dyu,love_dyd,ridicule,ridicule_dyu,ridicule_dyd,masculine,masculine_dyu,masculine_dyd,feminine,feminine_dyu,feminine_dyd,violence,violence_dyu,violence_dyd,suffering,suffering_dyu,suffering_dyd,dispute,dispute_dyu,dispute_dyd,anger,anger_dyu,anger_dyd,envy,envy_dyu,envy_dyd,work,work_dyu,work_dyd,politics,politics_dyu,politics_dyd,terrorism,terrorism_dyu,terrorism_dyd,shame,shame_dyu,shame_dyd,confusion,confusion_dyu,confusion_dyd,hate,hate_dyu,hate_dyd
0,2006-2012,0.0008671174840410223,0.0009103678673199091,0.0008193602029738827,0.0003973625612395881,0.0004315009501826223,0.00036510698736511585,0.004964451339662231,0.005092692601555428,0.004844886648014897,0.0025741810389174166,0.002664288937365793,0.0024805441661728614,0.017688075127602496,0.017980573579752385,0.01739403253445314,0.002412432842271764,0.0025057500520094824,0.002320856808678706,0.0017337826773241778,0.0018064507564826196,0.0016533346763129516,0.005950631070070159,0.006173684653729373,0.0057444302701362224,0.003254226046810069,0.003375824404508408,0.0031281774563024817,0.001157932821316099,0.0012269714042742812,0.0010918215403597992,0.004760148211643866,0.0048804256927915965,0.004635218742802907,0.002581144005632869,0.0026789380683501316,0.0024877502984884587,0.0027865106939900654,0.0028711582815818134,0.0027049735810615733,0.000469664732756931,0.0005043920624631118,0.00043620076546465366,0.0011467585830186714,0.0012230546387836448,0.0010762753233158112,0.0018744075091663565,0.0019434680749157445,0.0018074871605448521,0.0020369032085221107,0.0021261776102688822,0.001952559769168116,0.0009451329908928428,0.0010047710508296062,0.000889003915959003,0.0019536768898718174,0.0020310231903850873,0.0018789897949235115,0.001752007390222796,0.0018186693391366517,0.0016841071944880659,0.00477977947136143,0.004936396062328619,0.004637189281634174
1,2013-2015,0.0010097557703306428,0.0010431167053030043,0.0009769054817646574,0.0013002698805612228,0.0013452119472393547,0.0012568498367412167,0.005280027982189146,0.005365077975575628,0.005198162716768137,0.0022472025689069066,0.002300669527711131,0.0021967433746498404,0.02290896601973915,0.02312510559598151,0.022679085591848086,0.0018456830631164156,0.0018892168045578426,0.0018039455031803966,0.0025256437267353925,0.002591801717488478,0.002464736739345052,0.006775851600434598,0.0069171588837724975,0.006645396118225617,0.003815404898205597,0.003895395795099442,0.003739151679252874,0.0026934480576396866,0.0027605970456634223,0.002629274092796687,0.0052848680205481065,0.005374963994674726,0.005197624985353375,0.002736028359409859,0.0027973401754151023,0.0026716095288208345,0.0022968613854179834,0.0023423635000872148,0.002255261234479802,0.0005492873504884688,0.0005753602907937226,0.0005243535330496264,0.001392368967406308,0.0014414447074960544,0.0013448594465963236,0.0014450388180849466,0.0014818282551649553,0.0014093797341580287,0.0015618677540303976,0.0016061028094120754,0.0015219072057568214,0.0008977316642757704,0.0009327922783939337,0.0008650983710846956,0.0023762935081646027,0.0024350131084736296,0.0023221967936217216,0.0017238026125335527,0.0017646136923926486,0.001681132834689488,0.005813415937949305,0.005917115185798015,0.005711350255130602
2,2016,0.0009407877245532567,0.0009579259861733781,0.000922953447197044,0.001200287298844658,0.001224794263175176,0.0011772537224083693,0.005573789386654685,0.005625106254056549,0.005525064312855403,0.002156611656199734,0.0021886767486496267,0.002126594886408158,0.02377279001513991,0.02389799320639231,0.023650782878136815,0.001832658095220131,0.0018597664952805253,0.0018088403930089647,0.002686278644822041,0.0027219507208866562,0.0026510966785586575,0.006133616241390412,0.0061972578457251196,0.0060703662551574444,0.003795929806779322,0.003838904669472375,0.00375640458465753,0.002684197295205552,0.002721986494837126,0.0026498837115376287,0.005033986899652816,0.005082927517875494,0.004989640595427043,0.0027066132049575224,0.00274181526381219,0.0026723303926564006,0.0022629737855672507,0.0022879116391253253,0.0022366142592006645,0.00044249660050128836,0.00045554781509313176,0.0004298424759064892,0.0014039704614896582,0.001431899795234894,0.001375572134487337,0.0015059387398771594,0.0015281741641168,0.001484025263566537,0.0017242117851331692,0.0017503820483171478,0.001698229035711843,0.0007800887356283397,0.0007971700695111737,0.0007618122066335121,0.00223261569861054,0.002263974951834659,0.00220446936221091,0.0016942778311205952,0.0017173025968389218,0.0016701365623963598,0.0057152942636447225,0.005769409007326254,0.005658339502160051
3,2017,0.0009392321092007048,0.0009392321092007048,0.0009392321092007048,0.000983183484896552,0.000983183484896552,0.000983183484896552,0.0052888547270375464,0.0052888547270375464,0.0052888547270375464,0.002374160364315857,0.002374160364315857,0.002374160364315857,0.021238206894242505,0.021238206894242505,0.021238206894242505,0.0020567235203288407,0.0020567235203288407,0.0020567235203288407,0.0024904032011170735,0.0024904032011170735,0.0024904032011170735,0.005413224042725963,0.005413224042725963,0.005413224042725963,0.0036102843409064056,0.0036102843409064056,0.0036102843409064056,0.0022297509378677765,0.0022297509378677765,0.0022297509378677765,0.004709134585331523,0.004709134585331523,0.004709134585331523,0.0025417065282519803,0.0025417065282519803,0.0025417065282519803,0.0022607956002457415,0.0022607956002457415,0.0022607956002457415,0.0004410744557256984,0.0004410744557256984,0.0004410744557256984,0.0012573345973862944,0.0012573345973862944,0.0012573345973862944,0.0016779590809199245,0.0016779590809199245,0.0016779590809199245,0.0017172606174137267,0.0017172606174137267,0.0017172606174137267,0.0007866626224547883,0.0007866626224547883,0.0007866626224547883,0.0021670702616070777,0.0021670702616070777,0.0021670702616070777,0.0015898475657398715,0.0015898475657398715,0.0015898475657398715,0.0053031571799589125,0.0053031571799589125,0.0053031571799589125
4,2018,0.0009699824823825606,0.0009699824823825606,0.0009699824823825606,0.0007894811577573212,0.0007894811577573212,0.0007894811577573212,0.005247388536429005,0.005247388536429005,0.005247388536429005,0.0025911033744437195,0.0025911033744437195,0.0025911033744437195,0.020070627333064157,0.020070627333064157,0.020070627333064157,0.002128741666947499,0.002128741666947499,0.002128741666947499,0.002394003965022255,0.002394003965022255,0.002394003965022255,0.005769651768318183,0.005769651768318183,0.005769651768318183,0.003918649768482064,0.003918649768482064,0.003918649768482064,0.002416066769495703,0.002416066769495703,0.002416066769495703,0.004734908099200953,0.004734908099200953,0.004734908099200953,0.0024466909658739074,0.0024466909658739074,0.0024466909658739074,0.002190867596084961,0.002190867596084961,0.002190867596084961,0.00046006684854188874,0.00046006684854188874,0.00046006684854188874,0.0012774921289878944,0.0012774921289878944,0.0012774921289878944,0.0016332847783388782,0.0016332847783388782,0.0016332847783388782,0.0018453681766174308,0.0018453681766174308,0.0018453681766174308,0.0006892084626286698,0.0006892084626286698,0.0006892084626286698,0.00221502774480405,0.00221502774480405,0.00221502774480405,0.0014992396902692158,0.0014992396902692158,0.0014992396902692158,0.005439373206137145,0.005439373206137145,0.005439373206137145
