,year,sadness,sadness_dyu,sadness_dyd,independence,independence_dyu,independence_dyd,positive_emotion,positive_emotion_dyu,positive_emotion_dyd,family,family_dyu,family_dyd,negative_emotion,negative_emotion_dyu,negative_emotion_dyd,government,government_dyu,government_dyd,love,love_dyu,love_dyd,ridicule,ridicule_dyu,ridicule_dyd,masculine,masculine_dyu,masculine_dyd,feminine,feminine_dyu,feminine_dyd,violence,violence_dyu,violence_dyd,suffering,suffering_dyu,suffering_dyd,dispute,dispute_dyu,dispute_dyd,anger,anger_dyu,anger_dyd,envy,envy_dyu,envy_dyd,work,work_dyu,work_dyd,politics,politics_dyu,politics_dyd,terrorism,terrorism_dyu,terrorism_dyd,shame,shame_dyu,shame_dyd,confusion,confusion_dyu,confusion_dyd,hate,hate_dyu,hate_dyd
0,2006-2012,0.0009881658903538415,0.0010634315261105836,0.0009132595957729363,0.0005182645628807982,0.0005680696344200849,0.00047056139893312854,0.004778292281472759,0.004940546248543404,0.004624528970786281,0.0020507801361037536,0.0021644663253449353,0.0019472224018447237,0.020408221492939842,0.020804436155762114,0.020022625337555403,0.003162542915052498,0.003296918392576799,0.0030322944901363816,0.00177776125880098,0.0018744637279351837,0.0016815190928272722,0.00497134267425505,0.00520483715173333,0.004745683675573729,0.003417835477262167,0.0035716693746062986,0.0032585527074081976,0.0012905418006435032,0.001383563130618983,0.0012003179834556572,0.005336986257193685,0.00551543231921583,0.0051556988179261515,0.0029344971206450177,0.003072528623313726,0.0027973134570731806,0.002724162636028466,0.002828986888236072,0.002619663788933967,0.0006055026452323745,0.0006700610958571009,0.000544812042085428,0.0011978826123888455,0.0012948786202486393,0.0011082626598869305,0.0018525728346449645,0.0019427544123380113,0.0017697983774022474,0.0018542391710398374,0.001967652277580273,0.0017448365631644216,0.0008324709834703396,0.0008985787713931496,0.0007718375452894779,0.001980747536098806,0.002093068735655303,0.0018725344755222075,0.0015560017274045435,0.001641172361432461,0.0014746947578928677,0.0049762442273880705,0.005178515903010034,0.004793712620571413
1,2013-2015,0.00094529226829493,0.0009727668177738575,0.0009193951005599986,0.0011779619297919413,0.0012141553823889228,0.0011433146245725672,0.005182724711221538,0.005258394396501575,0.005109651847989838,0.002150766081112857,0.0021990991741665266,0.0021012677640945337,0.02356887662890536,0.02375746964269382,0.023379302837336656,0.001591965220796403,0.001635060710359066,0.0015534152909874172,0.0024742915692988867,0.0025323232483792277,0.0024214457313784894,0.004246840806508742,0.004334566440691125,0.004156149740204717,0.004720131399494775,0.00479870268412654,0.00464818569850147,0.002244130325775037,0.002291250557771248,0.0021934661269407277,0.005651792510195781,0.005731043474595681,0.005577782686038973,0.002897708317516124,0.00295522417258573,0.002839543341112751,0.002428149652657705,0.0024684810761115756,0.0023858753674930264,0.0004970688979193862,0.0005180960625027631,0.00047762829921662426,0.0014079330941583462,0.00145332953786836,0.0013653364417919131,0.0014875775827307713,0.0015219121034711954,0.0014522717474812138,0.0011893506149725547,0.0012243353007749603,0.0011560515831582512,0.0008352972243042369,0.0008694726047867548,0.0008050064987012636,0.002122655748540752,0.002167815461221457,0.002080735975490727,0.0015689983738281868,0.001607626322165455,0.001531871906532246,0.005594196934247427,0.005684464819031682,0.005501889673927458
2,2016,0.0009262379877381543,0.0009553817557111999,0.0008984171140119388,0.0008710563431694847,0.0009013937240925137,0.0008433791012301843,0.005416040267487925,0.0054965705579134655,0.00533449136031404,0.0022332439656884196,0.00228531772420802,0.0021804758897440795,0.02427506137152291,0.024483474972087423,0.024067096341211937,0.001752454395041979,0.0017926567013125227,0.0017139699407895603,0.0025387669928744402,0.0025948645909177,0.002484762640250435,0.004213361719370543,0.004296012928461163,0.004128561849316912,0.004715717125426082,0.00479624754155524,0.004636436248622085,0.0017803170335655286,0.0018262835223629029,0.00173437675370674,0.0054945740390294736,0.005573266527913558,0.005416227278951576,0.00295623660677741,0.0030126611220177672,0.0028999417378437558,0.0024560307203299893,0.002497950977258503,0.0024149929846914255,0.00045578590178330455,0.00047441929625172347,0.00043798606181675236,0.0013751306581543305,0.0014195268207123184,0.0013306315160813028,0.001462201516296259,0.0015001402722746443,0.0014253390028813586,0.0015708047583305677,0.0016095149464732496,0.0015342319445781857,0.0009807024772737632,0.0010140000533962901,0.0009474020082758956,0.002003135688018213,0.002050344483163653,0.0019586209738032627,0.0015455380305800699,0.001580112301326885,0.001510870860273222,0.0056093642896604245,0.00569551854592957,0.005526976743794013
3,2017,0.000922549731926394,0.000922549731926394,0.000922549731926394,0.0009617974141489282,0.0009617974141489282,0.0009617974141489282,0.004986792137638367,0.004986792137638367,0.004986792137638367,0.002295388596949084,0.002295388596949084,0.002295388596949084,0.022779324895289887,0.022779324895289887,0.022779324895289887,0.001988460934702417,0.001988460934702417,0.001988460934702417,0.0022797188797020057,0.0022797188797020057,0.0022797188797020057,0.00441627404274219,0.00441627404274219,0.00441627404274219,0.0046787441460817555,0.0046787441460817555,0.0046787441460817555,0.0018944145287687314,0.0018944145287687314,0.0018944145287687314,0.005543277690050046,0.005543277690050046,0.005543277690050046,0.003005806473194274,0.003005806473194274,0.003005806473194274,0.002450433076141618,0.002450433076141618,0.002450433076141618,0.00048556830389766113,0.00048556830389766113,0.00048556830389766113,0.0014158831178646518,0.0014158831178646518,0.0014158831178646518,0.0015305637306061027,0.0015305637306061027,0.0015305637306061027,0.0016810293251146588,0.0016810293251146588,0.0016810293251146588,0.0010236444242227145,0.0010236444242227145,0.0010236444242227145,0.002039515541197425,0.002039515541197425,0.002039515541197425,0.00152114684352384,0.00152114684352384,0.00152114684352384,0.0056014755402797765,0.0056014755402797765,0.0056014755402797765
4,2018,0.0008860215002562758,0.0008860215002562758,0.0008860215002562758,0.0007950641411812301,0.0007950641411812301,0.0007950641411812301,0.004719488320539572,0.004719488320539572,0.004719488320539572,0.002529426818768198,0.002529426818768198,0.002529426818768198,0.02142015724202221,0.02142015724202221,0.02142015724202221,0.001801301722308494,0.001801301722308494,0.001801301722308494,0.0020294956578807027,0.0020294956578807027,0.0020294956578807027,0.0047407185924707084,0.0047407185924707084,0.0047407185924707084,0.005166583219007747,0.005166583219007747,0.005166583219007747,0.002057250113404683,0.002057250113404683,0.002057250113404683,0.005469495943971853,0.005469495943971853,0.005469495943971853,0.0028544299703540475,0.0028544299703540475,0.0028544299703540475,0.0023543900346843683,0.0023543900346843683,0.0023543900346843683,0.0004604537460195479,0.0004604537460195479,0.0004604537460195479,0.0013199751735057277,0.0013199751735057277,0.0013199751735057277,0.0015129435884663183,0.0015129435884663183,0.0015129435884663183,0.0016097559123068096,0.0016097559123068096,0.0016097559123068096,0.0008092257234319861,0.0008092257234319861,0.0008092257234319861,0.0019384686624109259,0.0019384686624109259,0.0019384686624109259,0.001449439005720761,0.001449439005720761,0.001449439005720761,0.005412739514452713,0.005412739514452713,0.005412739514452713
