,year,sadness,sadness_dyu,sadness_dyd,independence,independence_dyu,independence_dyd,positive_emotion,positive_emotion_dyu,positive_emotion_dyd,family,family_dyu,family_dyd,negative_emotion,negative_emotion_dyu,negative_emotion_dyd,government,government_dyu,government_dyd,love,love_dyu,love_dyd,ridicule,ridicule_dyu,ridicule_dyd,masculine,masculine_dyu,masculine_dyd,feminine,feminine_dyu,feminine_dyd,violence,violence_dyu,violence_dyd,suffering,suffering_dyu,suffering_dyd,dispute,dispute_dyu,dispute_dyd,anger,anger_dyu,anger_dyd,envy,envy_dyu,envy_dyd,work,work_dyu,work_dyd,politics,politics_dyu,politics_dyd,terrorism,terrorism_dyu,terrorism_dyd,shame,shame_dyu,shame_dyd,confusion,confusion_dyu,confusion_dyd,hate,hate_dyu,hate_dyd
0,2006-2012,0.0006764161787398338,0.0007393337610094265,0.0006115918146514159,0.00044245065953581116,0.0005086610636165836,0.0003847074253849658,0.01159018156583766,0.012057328088407825,0.01116507433943029,0.0025739624308537185,0.002752216718676179,0.002398469982667643,0.010242966298395436,0.010569167745613887,0.00989562033375165,0.002380283716741041,0.0025155818486539304,0.0022708159756410075,0.007656881256002123,0.008043467878761434,0.007266351677663367,0.0011942304394126461,0.0013073907705940004,0.0010823137147935996,0.004374552978054044,0.004640358370082787,0.004062718659564184,0.004737906084116451,0.0050759542926397975,0.004413261001121815,0.0046703372923324795,0.0048834609722876315,0.004431491870697963,0.0018545486011637604,0.0019887486679952193,0.0017289473196796335,0.0022664002555167133,0.002397660390990486,0.0021576992700780367,0.0004585969647720705,0.0005167814873476139,0.0004004368684323402,0.0005439152978504442,0.0006126760607447003,0.00048209449515561147,0.002043833512503534,0.002170657825541254,0.0019258866815681018,0.0011341430689077183,0.0012215961323147487,0.0010438118668807304,0.0005124727328571035,0.0005830035154934442,0.0004500551038116221,0.0015509008251116583,0.0016800399655685508,0.001429046663224868,0.001168682544768367,0.001266411922136748,0.0010791621950555184,0.0022479889434772757,0.002386139196749123,0.002111102063841474
1,2013-2015,0.0007445741530578673,0.0007731126238308664,0.0007164552987580566,0.0008653203281155929,0.0008983139198019508,0.0008322474920343176,0.013040874173620121,0.013237295316450307,0.012822812858427384,0.002813533660378371,0.0028964890479948545,0.002738427761788228,0.012217246049257703,0.012373533038173757,0.01205542982487688,0.0010159116484567095,0.0010499726828054987,0.0009831185468845566,0.009396553728657109,0.009582896731689005,0.009199021224325856,0.0014696147940660626,0.0015204633971971301,0.0014220399492047185,0.00565409580611369,0.005799365098388675,0.005514286025789256,0.00664665964240698,0.006787139666374069,0.006496748177406639,0.004985669369665238,0.005077355773436699,0.004892486170025763,0.001804369023418368,0.0018547493948935434,0.0017482655511725216,0.0020509704497657343,0.0021046281262950875,0.0020018251432132672,0.000424419663600574,0.00045109922201069954,0.0004005714839941921,0.0006586012137515097,0.0006925678160362631,0.0006257457553753931,0.0017214699265615642,0.0017773671547755738,0.0016694572721088175,0.0007152203345440313,0.0007423522879142091,0.0006885376411982736,0.00041567494511035195,0.00044200478481262284,0.0003906840561408069,0.00173975573537782,0.001791730241330974,0.0016902824980171522,0.0012135712682088537,0.0012549353941616107,0.0011733414205876407,0.002848359487881349,0.002921027538939519,0.0027812572544818528
2,2016,0.0006682705290042835,0.0006972644077701111,0.0006388485907418909,0.0005922568726189512,0.0006195206707082233,0.0005639115337643516,0.016381865475394945,0.016621403464386238,0.01617298896959876,0.0030584297348060082,0.003148342240693748,0.0029722325574774834,0.01226176161349542,0.012426013641187552,0.012098025315233317,0.0011149062377979035,0.001151078362216331,0.0010789343020407207,0.012128354260021674,0.012352369421142302,0.011911417935238878,0.001304517352711692,0.0013523231329749586,0.0012589895207276293,0.005832462620724245,0.005960045146661025,0.005699647261817481,0.0062427885685964165,0.006395376634475808,0.006084705835140892,0.004714662533841901,0.004808817240621385,0.0046247541092286236,0.0016978048107292119,0.001750092847513475,0.0016473049545330594,0.0021861123290452832,0.0022428833141026837,0.002134601663479583,0.0003417565328248263,0.0003658122503535892,0.00031992921939269297,0.0006571266676219082,0.0006891937752891905,0.0006236419388705413,0.0018155191035912972,0.0018728143093514648,0.0017551703740818995,0.0009628880932217235,0.0009973896119562203,0.0009291543340631208,0.000485630637254222,0.0005119771399480298,0.0004618898604305151,0.001598504850279225,0.0016505929678486894,0.0015479391747181596,0.0011406945512703538,0.0011780093256622017,0.0011019497823426022,0.002606159481306593,0.0026736138058667995,0.002543781994426376
3,2017,0.0006642209089766922,0.0006642209089766922,0.0006642209089766922,0.0006320043396041496,0.0006320043396041496,0.0006320043396041496,0.015132587427563432,0.015132587427563432,0.015132587427563432,0.00322146234866462,0.00322146234866462,0.00322146234866462,0.01075876439163582,0.01075876439163582,0.01075876439163582,0.001150645612025223,0.001150645612025223,0.001150645612025223,0.011223885210614348,0.011223885210614348,0.011223885210614348,0.0012157855234123124,0.0012157855234123124,0.0012157855234123124,0.00589609119814528,0.00589609119814528,0.00589609119814528,0.006932737527234039,0.006932737527234039,0.006932737527234039,0.004407454910059154,0.004407454910059154,0.004407454910059154,0.0016415871390552928,0.0016415871390552928,0.0016415871390552928,0.001965531864560064,0.001965531864560064,0.001965531864560064,0.0003351212847994181,0.0003351212847994181,0.0003351212847994181,0.0005837963114632112,0.0005837963114632112,0.0005837963114632112,0.0018345706366886033,0.0018345706366886033,0.0018345706366886033,0.0009602343002836432,0.0009602343002836432,0.0009602343002836432,0.000469739826056357,0.000469739826056357,0.000469739826056357,0.0015601261837335865,0.0015601261837335865,0.0015601261837335865,0.001125846159882084,0.001125846159882084,0.001125846159882084,0.0023992000478078907,0.0023992000478078907,0.0023992000478078907
4,2018,0.0006638835183653248,0.0006638835183653248,0.0006638835183653248,0.0005562361755014107,0.0005562361755014107,0.0005562361755014107,0.012853339141149561,0.012853339141149561,0.012853339141149561,0.003359641715749921,0.003359641715749921,0.003359641715749921,0.010885355406098378,0.010885355406098378,0.010885355406098378,0.001161440167445052,0.001161440167445052,0.001161440167445052,0.00927217027542121,0.00927217027542121,0.00927217027542121,0.0013039143462714113,0.0013039143462714113,0.0013039143462714113,0.005888178062973879,0.005888178062973879,0.005888178062973879,0.006626260559329624,0.006626260559329624,0.006626260559329624,0.004567822428002234,0.004567822428002234,0.004567822428002234,0.0016617986552266797,0.0016617986552266797,0.0016617986552266797,0.002039182179048527,0.002039182179048527,0.002039182179048527,0.0003392856690543642,0.0003392856690543642,0.0003392856690543642,0.0005796098933713001,0.0005796098933713001,0.0005796098933713001,0.0017770361308399694,0.0017770361308399694,0.0017770361308399694,0.0010224031529744756,0.0010224031529744756,0.0010224031529744756,0.00039091139017503906,0.00039091139017503906,0.00039091139017503906,0.0015673065387917524,0.0015673065387917524,0.0015673065387917524,0.0011461600524155515,0.0011461600524155515,0.0011461600524155515,0.002382234175754268,0.002382234175754268,0.002382234175754268
