,year,sadness,sadness_dyu,sadness_dyd,independence,independence_dyu,independence_dyd,positive_emotion,positive_emotion_dyu,positive_emotion_dyd,family,family_dyu,family_dyd,negative_emotion,negative_emotion_dyu,negative_emotion_dyd,government,government_dyu,government_dyd,love,love_dyu,love_dyd,ridicule,ridicule_dyu,ridicule_dyd,masculine,masculine_dyu,masculine_dyd,feminine,feminine_dyu,feminine_dyd,violence,violence_dyu,violence_dyd,suffering,suffering_dyu,suffering_dyd,dispute,dispute_dyu,dispute_dyd,anger,anger_dyu,anger_dyd,envy,envy_dyu,envy_dyd,work,work_dyu,work_dyd,politics,politics_dyu,politics_dyd,terrorism,terrorism_dyu,terrorism_dyd,shame,shame_dyu,shame_dyd,confusion,confusion_dyu,confusion_dyd,hate,hate_dyu,hate_dyd
0,2006-2012,0.0005575268760549833,0.0006171653946345378,0.0005002032381701654,0.00020607204008314062,0.00023751803151062832,0.00017586490491632427,0.013508797574668678,0.01399002908017221,0.013047515071816665,0.003941460721560199,0.004131855823250776,0.003747474466422541,0.008893821548412211,0.009163981731718281,0.008643609249133974,0.0013135176877764258,0.0013949839033948316,0.0012309192364619635,0.008405981813053836,0.008770416137819885,0.008010973524196722,0.001342983355065758,0.0014671710148016564,0.0012429559840325896,0.003748199067949843,0.0039640490426217844,0.00352063800410492,0.004054529422497159,0.004331306986196546,0.0037823978674168513,0.003960561640479755,0.0041311815067570454,0.003798650261077114,0.0016891061588092883,0.0017956944007720777,0.001579636391068518,0.0017350268882983513,0.001836868015079231,0.0016423215190549917,0.0002559757658088442,0.0002994220191943533,0.0002173189342078495,0.0004790627826713938,0.0005358262464949504,0.00042394175282027915,0.0020009682149872325,0.0021306120560287164,0.001875701015273279,0.0010423525432110177,0.0011303371927348235,0.000965024038892831,0.0005334896799595352,0.000591568269498927,0.0004736668405930571,0.0013697023228337872,0.001469851299729353,0.001273007439929469,0.00117846405921545,0.0012604274892973166,0.0010987718529528805,0.0021936753387496177,0.0023029567380997225,0.002082334041609523
1,2013-2015,0.0007420242010477164,0.0007772452105031145,0.0007090839044147671,0.0009937455845901169,0.0010434550202078504,0.0009511372534789907,0.013511878166827024,0.013780353279466874,0.013248985243796443,0.0038546558999709934,0.003978909690118292,0.003733115706800652,0.01222836415097651,0.012426066441376438,0.012029607973130704,0.0009984541109261632,0.0010353866065568001,0.0009617107916359555,0.009721594875295477,0.009956473707101314,0.009495110855742865,0.0017927766980032052,0.0018601263994433917,0.0017262372905504921,0.004666301162815639,0.004801398385654231,0.004543428145712369,0.008464480646113694,0.008685600262281629,0.00824841075125572,0.004814147618276282,0.004927250059769403,0.004693616517227693,0.0018509686682291653,0.0019180533270713486,0.0017950495583205293,0.0016538309633745147,0.0017035270971790739,0.001606326759548926,0.0003845298949548663,0.0004160449792631901,0.00035743764733797733,0.0006132999148404854,0.0006517004272906871,0.0005773340495390382,0.0016458155649608677,0.0017083833901395294,0.0015792186804773525,0.0007774359386524766,0.0008143290222975377,0.0007384687196184811,0.00045793071936796266,0.00048812122161787336,0.0004314481524883593,0.0017670085930436988,0.0018312253100108335,0.0017076222283875994,0.0012520567395620731,0.0013010029800655024,0.001202877019699791,0.002841953658791606,0.0029279846300331166,0.00276255278296995
2,2016,0.0006689603860759699,0.0006885389373354245,0.0006514011410841008,0.00083789675967361,0.000861521776617317,0.0008138131445674896,0.015071407788130643,0.015214653451680207,0.014927392247210687,0.0033741179065279845,0.003434258448536072,0.003307486700519205,0.012802553845319179,0.01290995820590545,0.012691684832718072,0.0010267457650900496,0.001048555351277511,0.001004585236082395,0.0111005699474895,0.01123922806023671,0.010965174869323425,0.0017083428893946045,0.0017470063985160942,0.0016711564751011676,0.005021460784038434,0.005100544695370172,0.0049401985661189154,0.008046069366244591,0.00815448353463172,0.007935902264380687,0.004601955422873754,0.004660537889815882,0.004539147187476118,0.0019808699190003785,0.0020236153938857425,0.0019401047644641521,0.0015518427875204459,0.0015806522937285657,0.0015237521531992443,0.00033644370582428554,0.00035245770793689875,0.00032206149427238523,0.0006180565901321663,0.0006402196484124182,0.000598533804500867,0.0015709583626040858,0.0016064928644146518,0.0015388469616175065,0.0009142109734347082,0.0009362785131783622,0.0008918837228210147,0.0004450385405268458,0.0004627081274161273,0.000430195393487756,0.0016796076046821365,0.0017126799960302402,0.001646745926823784,0.001284768139375384,0.0013163057239419524,0.0012545124573029726,0.0028678452660019266,0.0029170095603235683,0.0028221158405286814
3,2017,0.0006498199126224189,0.0006498199126224189,0.0006498199126224189,0.0006801635163101815,0.0006801635163101815,0.0006801635163101815,0.013552501433601802,0.013552501433601802,0.013552501433601802,0.003524543523800081,0.003524543523800081,0.003524543523800081,0.011055650888899532,0.011055650888899532,0.011055650888899532,0.001185389117259375,0.001185389117259375,0.001185389117259375,0.009721391713468851,0.009721391713468851,0.009721391713468851,0.0013991963139511376,0.0013991963139511376,0.0013991963139511376,0.004539811005666911,0.004539811005666911,0.004539811005666911,0.00748169708034116,0.00748169708034116,0.00748169708034116,0.004332407034106963,0.004332407034106963,0.004332407034106963,0.001744237399231848,0.001744237399231848,0.001744237399231848,0.001634561007849766,0.001634561007849766,0.001634561007849766,0.00032115205063743376,0.00032115205063743376,0.00032115205063743376,0.0005772824148459969,0.0005772824148459969,0.0005772824148459969,0.0017555348511545151,0.0017555348511545151,0.0017555348511545151,0.0009987663509405937,0.0009987663509405937,0.0009987663509405937,0.00047079299713470357,0.00047079299713470357,0.00047079299713470357,0.0015785133423746743,0.0015785133423746743,0.0015785133423746743,0.0012051448201522122,0.0012051448201522122,0.0012051448201522122,0.00254341082769521,0.00254341082769521,0.00254341082769521
4,2018,0.0006686388804851383,0.0006686388804851383,0.0006686388804851383,0.0005458015442572,0.0005458015442572,0.0005458015442572,0.013197193087936149,0.013197193087936149,0.013197193087936149,0.0037169080067432675,0.0037169080067432675,0.0037169080067432675,0.010653276857840434,0.010653276857840434,0.010653276857840434,0.001268316260863221,0.001268316260863221,0.001268316260863221,0.0092833626777876,0.0092833626777876,0.0092833626777876,0.0014317586228552307,0.0014317586228552307,0.0014317586228552307,0.004694039766012048,0.004694039766012048,0.004694039766012048,0.007637776611123607,0.007637776611123607,0.007637776611123607,0.004279593469560786,0.004279593469560786,0.004279593469560786,0.001692414859824301,0.001692414859824301,0.001692414859824301,0.0016619764798808088,0.0016619764798808088,0.0016619764798808088,0.00032995794025618934,0.00032995794025618934,0.00032995794025618934,0.0005775317917804806,0.0005775317917804806,0.0005775317917804806,0.0017482412732910536,0.0017482412732910536,0.0017482412732910536,0.0010723121466388232,0.0010723121466388232,0.0010723121466388232,0.0004237212404352073,0.0004237212404352073,0.0004237212404352073,0.0015865143062264518,0.0015865143062264518,0.0015865143062264518,0.0011335050880174466,0.0011335050880174466,0.0011335050880174466,0.0025093931751118967,0.0025093931751118967,0.0025093931751118967
