,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT,SEXUALLY_EXPLICIT,FLIRTATION,year
0,0.3450650223381293,0.2093605646867941,0.24445939946702802,0.31090123043922085,0.2805468203367223,0.26580938078383637,0.1865394322215983,0.33137450556831,2010
1,0.35203894692302684,0.21459451611835698,0.2603939648431542,0.319135033669958,0.2815212209667436,0.2657741215256616,0.1845611425598453,0.33759628981976,2011
2,0.3577297965356194,0.2200010643125337,0.28811034868169366,0.3276599709136409,0.27854877528003874,0.2774063714252482,0.17989721949187237,0.32805087291325374,2012
3,0.323819450719154,0.1895078476818606,0.2398050223920043,0.293374065899694,0.255746051124349,0.25130369590469354,0.1709129433992652,0.3097847922245617,2013
4,0.3392034003537989,0.21241183683886253,0.22682264370665137,0.2987681491567865,0.2810982436147529,0.24257796639682488,0.19163951018365866,0.3250722405601198,2014
5,0.39518979646772917,0.2635861535350559,0.28955735316585585,0.34795038766937614,0.3374153741770072,0.27190688740532554,0.2306727210778304,0.35320836960669405,2015
6,0.39270142824432164,0.25689485529061135,0.3031106702093546,0.34761167504652424,0.3277060148319235,0.26411855029471,0.21921632867994661,0.3439255753135096,2016
7,0.36770577929773673,0.236475003383458,0.27681560757310675,0.3247126032817641,0.3014618034138571,0.25509523444325516,0.1999001135486438,0.33503178043080933,2017
8,0.3601603933917272,0.2285810192923132,0.27452808059513345,0.31999360077231914,0.2878495338676226,0.2566768443014083,0.19716480535098133,0.331866977232188,2018
9,0.36320263899912647,0.2285953702807719,0.2752892572876898,0.3242061595359505,0.28765864001813574,0.25975117382342533,0.19729762747779242,0.32972658346299144,2019
