,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT,SEXUALLY_EXPLICIT,FLIRTATION,year
0,0.36835948848552585,0.23441979012156106,0.31534436340161137,0.33435635341785735,0.2840411827577602,0.28714982071664363,0.19085757835377248,0.33366010120570677,2010
1,0.3493933241221492,0.2282153505063895,0.29518981665965116,0.31172877870053256,0.271199435286455,0.2742688921319787,0.18958789685953323,0.3349969703229445,2011
2,0.35626077019801766,0.2272245378848533,0.28373325291191764,0.32377981976840275,0.2832713743074407,0.2722949569439012,0.19150216933728742,0.33637485764986336,2012
3,0.381728182965761,0.24109489661694555,0.27667368039125934,0.34745225417835596,0.3044132543236579,0.2821220615467595,0.18916265800342716,0.3206067225381057,2013
4,0.38537960426201695,0.2507010117297118,0.3265349170244141,0.34348758904713117,0.29283432088915073,0.28507830478205953,0.1905697488295108,0.3174019520147551,2014
5,0.3886098391522876,0.2606571839295727,0.3125970510316233,0.34652667457114894,0.31328494596428863,0.2925134727537477,0.21576015083880243,0.35738257273112767,2015
6,0.41478106111623964,0.2803934692750159,0.3199105619414705,0.36781337880768245,0.34319162025150723,0.27922745805581795,0.2297901371033637,0.3575543887536395,2016
7,0.4106256154609496,0.2763171515673521,0.3107671175740865,0.36066602857038743,0.3374163194992171,0.2788750678724003,0.22770861303086357,0.3580161835999906,2017
8,0.39496921711855565,0.26036873885038436,0.31006947496532683,0.3478623912879765,0.3146731643597596,0.2808715691229608,0.21454054534444905,0.3494990818389094,2018
9,0.3835606963149137,0.24911211123463858,0.30262674932502626,0.3408449618897772,0.2993963332061535,0.2820499262203487,0.20670718863141557,0.34941742595986325,2019
