,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT,SEXUALLY_EXPLICIT,FLIRTATION,year
0,0.37293278512794353,0.22656515581908848,0.30437365321862797,0.34938343282159073,0.28953011240619303,0.2640818128145958,0.19685047774350228,0.3475261897911341,2010
1,0.40687171918411236,0.2576178381562772,0.3566664739419811,0.37694264911179065,0.310383201597962,0.30351952895699,0.18960658116042345,0.34167493502507484,2011
2,0.3718616741901058,0.2237728738980048,0.3226748687599688,0.3452321703689504,0.2801608209837392,0.29368130422752975,0.17718722212418817,0.3375644762811425,2012
3,0.3499921554865863,0.20411925198777003,0.30319329529268696,0.3239021378576228,0.26202985853258703,0.2758174040264587,0.17118583583206487,0.3226112816570711,2013
4,0.36680396916769487,0.2209569599761615,0.3215298731659072,0.3393727224387198,0.27526073056960676,0.2824455100182021,0.17526886828281552,0.32587242116787046,2014
5,0.35954155129069415,0.22418056236929365,0.31849102887181235,0.3304445485699917,0.27498386937614827,0.2813159300842301,0.19505229635994387,0.34940639536540014,2015
6,0.3616098366200346,0.22231118702358602,0.3109936516407153,0.33240465964401034,0.275851371779321,0.28474331225689603,0.18654803711661322,0.3422201651075184,2016
7,0.4126419189072892,0.2663122331571725,0.29934947107113696,0.3749302500028784,0.31995648154386414,0.3137349814704858,0.20690761348656478,0.3479510748174636,2017
8,0.40754280824803274,0.25514764845388815,0.3097981704135654,0.3736587548507531,0.30787130806208035,0.2998398869740841,0.19739092405234407,0.3395975175046592,2018
9,0.3967003972091655,0.2428843178945612,0.3060946011200248,0.36725870621109635,0.2910852676503612,0.29087655505595206,0.18572277909522694,0.33695014152618236,2019
