,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT,SEXUALLY_EXPLICIT,FLIRTATION,year
0,0.34858197302679167,0.2203032256557105,0.251029148883499,0.31457611936213714,0.27944037780175157,0.25614971121803715,0.19680481550841644,0.36142840122069875,2010
1,0.3621993040876562,0.23927685503673074,0.25678027956415644,0.32037874971321234,0.29258682935313324,0.27010434916330034,0.20292094760707655,0.3709231663134397,2011
2,0.3093835539010874,0.1945624619731466,0.22581743888995603,0.2733463771584481,0.24599367141111694,0.23492396087768616,0.17899449410690502,0.3464688794345813,2012
3,0.29508036851527064,0.17992512485942475,0.21669697426499884,0.2615966632192883,0.23134512615367092,0.22526362911920803,0.16787534138449883,0.32359885589103843,2013
4,0.2759016679684011,0.16909331036664366,0.20160305884631335,0.24193578453119302,0.21436315922759897,0.22229134674834247,0.16196437766335764,0.3229815897144607,2014
5,0.30015895878360593,0.19109205984187966,0.2151372229127553,0.25976345869618445,0.23787747189432454,0.23675510204053468,0.18208482966650674,0.3456800869146633,2015
6,0.3268755770491715,0.21149004053856738,0.23869071035008071,0.2834335753467127,0.25905613707159025,0.24951749800606618,0.18814178450419092,0.34867510636443916,2016
7,0.35162520847927925,0.22252471979377275,0.2548080706742714,0.3126327804913658,0.2701204649390289,0.26969227531990886,0.18634306122070157,0.338834860626669,2017
8,0.3456063384788865,0.21190845521938778,0.2623687359400754,0.31162427929545916,0.25590283057471813,0.2669767580197618,0.17819080578556865,0.33607726558062617,2018
9,0.3461731461659679,0.2114045983915812,0.2714595248267801,0.3141524989291226,0.2507022737000611,0.2710366499317628,0.17469637459763473,0.33638485549397334,2019
