,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT,SEXUALLY_EXPLICIT,FLIRTATION,year
0,0.21614724629410886,0.1278501859040787,0.17866703039879137,0.19167863493580042,0.15847707947386702,0.21235843767673712,0.14213211960725072,0.32834157328247726,2010
1,0.250872111217025,0.15632881036810034,0.21681642023396044,0.22404351812544845,0.18867513139578845,0.22910401626433693,0.14658849901299267,0.3301006552383515,2011
2,0.2619643608634967,0.1634178825161042,0.25731186152338936,0.23120892086763825,0.18559413510759207,0.23603575939877303,0.1471681719309817,0.33162765771702496,2012
3,0.32610187062417595,0.2029867031461692,0.347077700738333,0.29257661395949336,0.23088882239123543,0.2373425688871194,0.15467163329665218,0.3261226580976234,2013
4,0.2956918540783659,0.18568071755745552,0.2662877859635516,0.2630134105967952,0.22012164728645747,0.23851352726099223,0.16103332280084046,0.3372625481704113,2014
5,0.2997027225786825,0.19698421450782644,0.2643595940204309,0.2629559437408042,0.23433347579035446,0.2501305812582602,0.18434187512168715,0.3722956360135173,2015
6,0.32035265750811853,0.21072629796643919,0.296207841742851,0.28285123404620865,0.24678783872738505,0.26024909250405664,0.19447972687815962,0.36676112828919644,2016
7,0.37913430826445377,0.2540835800411889,0.3356462011290646,0.3356684754880947,0.29633528526571573,0.2637002469473678,0.2089803605840422,0.3604405953276293,2017
8,0.406096799530437,0.2760195674213407,0.37766063530341626,0.356549532061569,0.30893446563442706,0.2817449275471738,0.2105327925796616,0.3604983080610665,2018
9,0.4026253228237678,0.2702778563792909,0.3864446142464767,0.3527861382738309,0.2982767840964536,0.28542623831058034,0.20187407030510535,0.35282937630993294,2019
