,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT,SEXUALLY_EXPLICIT,FLIRTATION,year
0,0.31865107108054025,0.20526525142506744,0.22135646753880894,0.28007551127014507,0.25746546898604283,0.24965590332995896,0.1935226601882428,0.3824084109259559,2010
1,0.3415664997814155,0.22551734038021512,0.2389609852017801,0.2997266671706644,0.27694434588135786,0.2658118262755795,0.20253013972565104,0.38758787129303335,2011
2,0.3142718229006434,0.2066456083362651,0.19491828810413542,0.270710970992664,0.26111219031657984,0.22820958081117118,0.19386782334749386,0.3717708472266149,2012
3,0.27832789838058,0.1719821756337136,0.18054134567441857,0.24048266207000188,0.2242586968001969,0.21148724772319216,0.16410300709366027,0.3264386625661004,2013
4,0.28647292796510554,0.1792722311749896,0.18851378467159616,0.24733210979792933,0.2292004258475278,0.22308790966007988,0.16700623433048803,0.32993447569373446,2014
5,0.2873344951045838,0.18273250709381925,0.19433043040655873,0.2459270842499055,0.22767657173459568,0.22782976205232108,0.17021372009401148,0.3427599944879749,2015
6,0.3212773918719627,0.2087074524386215,0.23347411192291198,0.278912666805732,0.2522212137082186,0.25222930142697075,0.1792465546933607,0.3415141456584813,2016
7,0.3155743625823953,0.19963326756712388,0.229730494780121,0.2765786537621983,0.2423275364224574,0.24536706799741312,0.1744491783059951,0.33541812597603904,2017
8,0.307993686111017,0.19322978481403094,0.23387711127242292,0.2697653778957221,0.22804567819739333,0.2532852410740372,0.16931190106956398,0.3349583012855098,2018
9,0.31254165556868324,0.19527991842651832,0.25419807827423196,0.2763857619191761,0.22439603017174034,0.2639024756316853,0.16833512443515453,0.33556699389897826,2019
