,TOXICITY,TOXICITY_dyu,TOXICITY_dyd,SEVERE_TOXICITY,SEVERE_TOXICITY_dyu,SEVERE_TOXICITY_dyd,IDENTITY_ATTACK,IDENTITY_ATTACK_dyu,IDENTITY_ATTACK_dyd,INSULT,INSULT_dyu,INSULT_dyd,PROFANITY,PROFANITY_dyu,PROFANITY_dyd,THREAT,THREAT_dyu,THREAT_dyd,SEXUALLY_EXPLICIT,SEXUALLY_EXPLICIT_dyu,SEXUALLY_EXPLICIT_dyd,FLIRTATION,FLIRTATION_dyu,FLIRTATION_dyd,year
0,0.21614724629410886,0.23175682630392752,0.2003938447243202,0.1278501859040787,0.14037242612567974,0.11557068259712991,0.17866703039879137,0.19121134924169184,0.1678955007567976,0.19167863493580042,0.20695082043051358,0.1775770619486405,0.15847707947386702,0.1745816051850453,0.144412589607855,0.21235843767673712,0.2238212725287009,0.2013857994063444,0.14213211960725072,0.15187423951661633,0.13313270988670695,0.32834157328247726,0.33941056375226586,0.31742060967522656,2010
1,0.250872111217025,0.2640950522958781,0.23785660211460571,0.15632881036810034,0.16613038633351257,0.14620605660958783,0.21681642023396044,0.22806191634516132,0.2055877825887097,0.22404351812544845,0.23769766045313626,0.21125504402849463,0.18867513139578845,0.20190211210546594,0.17619961530752687,0.22910401626433693,0.2393424800967742,0.2203358629408602,0.14658849901299267,0.15544789346236557,0.13971067394668457,0.3301006552383515,0.33864881311290324,0.3219014162473118,2011
2,0.2619643608634967,0.2743812304516871,0.2502813087055215,0.1634178825161042,0.1729969590665644,0.15364707900628835,0.25731186152338936,0.271416476023773,0.24459082412653374,0.23120892086763825,0.24280247027484667,0.22024006343481595,0.18559413510759207,0.19771846930812886,0.1751946461677914,0.23603575939877303,0.2451928253029141,0.22755275177070555,0.1471681719309817,0.15388501244248468,0.1408717429578221,0.33162765771702496,0.33899768563650307,0.32418074999769936,2012
3,0.32610187062417595,0.3344030143598263,0.31775437236851517,0.2029867031461692,0.20998929020921542,0.19602774413040122,0.347077700738333,0.35623598004776386,0.3378865811088679,0.29257661395949336,0.30071780720155894,0.2848935226028367,0.23088882239123543,0.23881292810181448,0.22309626497454638,0.2373425688871194,0.2422823182144135,0.2323167460975211,0.15467163329665218,0.15866972624541276,0.1505976192012778,0.3261226580976234,0.33093639595297725,0.3215687602243803,2013
4,0.2956918540783659,0.3033930887436388,0.2886152540985734,0.18568071755745552,0.19154381316533126,0.18008913253726794,0.2662877859635516,0.27270589989671684,0.2592014809400039,0.2630134105967952,0.269608615470725,0.2570179385838186,0.22012164728645747,0.2272513954792456,0.2134424522183897,0.23851352726099223,0.24367178392671485,0.23387329287678324,0.16103332280084046,0.1654460248606019,0.1572060790453586,0.3372625481704113,0.3413797164940395,0.3331862072792652,2014
5,0.2997027225786825,0.30419298092339225,0.29466346995876325,0.19698421450782644,0.20066081354098056,0.19319681708974382,0.2643595940204309,0.2685225054331272,0.26024545681258837,0.2629559437408042,0.2668870569568286,0.2585782615659276,0.23433347579035446,0.23911663873848943,0.2296634678983304,0.2501305812582602,0.25350150303604235,0.2469957213350265,0.18434187512168715,0.18762796220018552,0.1814007752846025,0.3722956360135173,0.3752665677681979,0.36937160266413427,2015
6,0.32035265750811853,0.32328442054970474,0.31724991166346816,0.21072629796643919,0.21327209234251238,0.20813171395766852,0.296207841742851,0.299111160163789,0.2932537228002082,0.28285123404620865,0.28581186618584403,0.2799385668615669,0.24678783872738505,0.2498652145219184,0.2437392289302338,0.26024909250405664,0.26231651065326167,0.2582079603567264,0.19447972687815962,0.19675555853496504,0.1922113102599454,0.36676112828919644,0.3686200520943165,0.3649090304470729,2016
7,0.37913430826445377,0.38098969759197854,0.3772884058745684,0.2540835800411889,0.2556410970600838,0.2524706655681786,0.3356462011290646,0.33736892258854445,0.3340026264553806,0.3356684754880947,0.3374566255800297,0.3339555082499581,0.29633528526571573,0.298204333588868,0.29448978604115844,0.2637002469473678,0.26482434035138436,0.26244856853870246,0.2089803605840422,0.210276869457297,0.20765184954861454,0.3604405953276293,0.3615315363560911,0.35939612707455015,2017
8,0.406096799530437,0.4067457843445391,0.4054751157131951,0.2760195674213407,0.2765534707568731,0.27545658554697755,0.37766063530341626,0.3782624159654869,0.3771062644232149,0.356549532061569,0.3571525717364187,0.3559844583317149,0.30893446563442706,0.30956646832538753,0.30831386229106517,0.2817449275471738,0.28215587063012126,0.28136757751992936,0.2105327925796616,0.21098235199459914,0.21012232486797716,0.3604983080610665,0.360839031991096,0.36015652655409014,2018
9,0.4026253228237678,0.40369392360191664,0.4015251177596619,0.2702778563792909,0.2712216976943247,0.2693583567298241,0.3864446142464767,0.3874772231826595,0.3854763103752901,0.3527861382738309,0.3537743621793196,0.3517382613380354,0.2982767840964536,0.2993629156440972,0.29715096664655843,0.28542623831058034,0.28614699780724434,0.2846784316644984,0.20187407030510535,0.2025419636263802,0.20119477937155822,0.35282937630993294,0.3534151977367243,0.35224211481583423,2019
