,SEVERE_TOXICITY,SEVERE_TOXICITY_dyu,SEVERE_TOXICITY_dyd,year
0,0.2755942566367949,0.281646829953549,0.26969728839507034,1
1,0.2708329393031833,0.2771280614454916,0.26504419817094244,2
2,0.2664698281525501,0.2719772666469929,0.2612388982283019,3
3,0.2642699541175893,0.2719025035882099,0.2572109175041936,4
4,0.26479340450301575,0.2735487040161755,0.2565995748723441,5
5,0.2660802716965321,0.27511387529225656,0.25662144016066507,6
6,0.26544907797943346,0.2767247693622537,0.25386147774975365,7
7,0.2671015451,0.2797811466462432,0.255384191355151,8
8,0.2607350016744898,0.2742624815258813,0.2456462160679963,9
9,0.26570462435659953,0.28179309120156604,0.2505539115425056,10
