,SEVERE_TOXICITY,SEVERE_TOXICITY_dyu,SEVERE_TOXICITY_dyd,year
0,0.20806226393555768,0.20909841164126114,0.20697552736170544,1
1,0.2049568729582098,0.20601770988772336,0.2040530088519893,2
2,0.20260271994845003,0.20356011816495767,0.20169496014814173,3
3,0.20212107062866408,0.20302524619926943,0.20120942335266842,4
4,0.199767869425459,0.20078186460583344,0.19880569900596498,5
5,0.199733605913617,0.2007193468178021,0.1987750908640519,6
6,0.19869515411763658,0.1996423754475552,0.1977839410395959,7
7,0.1982593990932156,0.1991069673176204,0.19734034820614132,8
8,0.19708535441897784,0.19808836243011632,0.19611764056224495,9
9,0.19638524928925827,0.19734787628395775,0.19547271592391077,10
