,SEVERE_TOXICITY,SEVERE_TOXICITY_dyu,SEVERE_TOXICITY_dyd,year
0,0.295661471035033,0.29784148431031293,0.2933203226157706,1
1,0.29911715438805836,0.30139377899996544,0.2967785093224571,2
2,0.29549081373851205,0.29776736120648395,0.29323479803105595,3
3,0.297735310146466,0.3010073924167808,0.29472889581313155,4
4,0.298426534673938,0.3023487312115525,0.29489024304506617,5
5,0.3019345256001229,0.3062105439414871,0.2975049008123213,6
6,0.2975986022743154,0.30267780653063725,0.2931511786269946,7
7,0.3006663617480926,0.30597504307007073,0.2953798735444171,8
8,0.30079145313493294,0.3069743762691296,0.29482589331935316,9
9,0.30415865777772216,0.3109194941477383,0.297322206673538,10
