,SEVERE_TOXICITY,SEVERE_TOXICITY_dyu,SEVERE_TOXICITY_dyd,year
0,0.25807791809582725,0.2607166843031076,0.25552252587265795,1
1,0.25839174451853786,0.2608680478706576,0.2558313758005358,2
2,0.2602134536424954,0.26279679505338094,0.2576024661344006,3
3,0.2621855058530359,0.2649503408154606,0.2596616554349353,4
4,0.2621647501845011,0.26472168170190347,0.2595632883223876,5
5,0.2616394634820279,0.26415989554528946,0.2591634096847333,6
6,0.26199906542777435,0.26442856493969374,0.25933754065575987,7
7,0.2632195152590639,0.26595231569895483,0.2604543545411349,8
8,0.2638481969735341,0.26640763248307875,0.26109774379166545,9
9,0.26278547808544706,0.2654263523180408,0.2602284316103637,10
