,SEVERE_TOXICITY,SEVERE_TOXICITY_dyu,SEVERE_TOXICITY_dyd,year
0,0.2965714870284178,0.3170108918010752,0.27747570082334866,1
1,0.2927040595186246,0.30961579938467043,0.2744785305515759,2
2,0.27708096338395577,0.29491920988409404,0.26027128170235136,3
3,0.2761337508852744,0.2923494117597055,0.2586894450394913,4
4,0.26755844140456325,0.2841352756089961,0.2513289214580182,5
5,0.2784869254960307,0.294795846281306,0.26313378346734956,6
6,0.2848344093156642,0.3006012669565163,0.26882348517355886,7
7,0.2733527791077859,0.2901570362959854,0.2571709168051095,8
8,0.26343706822292395,0.2789170494654971,0.24829649919228072,9
9,0.26570462435659953,0.2806998416048098,0.2515548944742729,10
