,SEVERE_TOXICITY,SEVERE_TOXICITY_dyu,SEVERE_TOXICITY_dyd,year
0,0.19448620884188386,0.19491546447096955,0.19404562565832456,1
1,0.19063882477894176,0.1910404172565336,0.19023207989208188,2
2,0.1872857652858416,0.18766885135982075,0.18688990535852065,3
3,0.19006843334598306,0.19052914893212305,0.18958704171752938,4
4,0.1918948000733061,0.1924641213094198,0.1913917770830758,5
5,0.1933876149241235,0.1940257887743212,0.1927875583586475,6
6,0.19372137512558546,0.19446711687835383,0.19302771560326984,7
7,0.19508905474143132,0.19587136674676706,0.19433529198116428,8
8,0.1955494422987214,0.19642928912908256,0.19470653362671264,9
9,0.19638524928925827,0.19729893793091907,0.195470478529794,10
