,SEVERE_TOXICITY,SEVERE_TOXICITY_dyu,SEVERE_TOXICITY_dyd,year
0,0.17197567922778687,0.173247897682469,0.17063806172454885,2
1,0.16920013343060986,0.1704738197799328,0.16794551477248934,4
2,0.16413024465256185,0.16527766934564297,0.1630096439629374,6
3,0.1623835518719535,0.1635032623062632,0.16136887611043185,8
4,0.1612375093563111,0.16235131486284257,0.16012844870185655,10
