,SEVERE_TOXICITY,SEVERE_TOXICITY_dyu,SEVERE_TOXICITY_dyd,year
0,0.20419940133915768,0.20703692459448772,0.20154134677565916,1
1,0.20583444228757455,0.20852400488751488,0.2029778015339574,2
2,0.2070413000319862,0.2097880933675888,0.2041658681231617,3
3,0.20882754152336078,0.21182030537792967,0.20595808177102587,4
4,0.21437832802388207,0.21724614987859553,0.2115359433125787,5
5,0.21140093333213136,0.2140608864057328,0.20843488340303548,6
6,0.2141674957058684,0.2172114455261149,0.21118714599070396,7
7,0.21552129815856344,0.21843492972714906,0.21274220177018002,8
8,0.21624487371276738,0.21928634145504527,0.21334088411778163,9
9,0.2153089492888121,0.21816412349459857,0.21236709243424967,10
