,SEVERE_TOXICITY,SEVERE_TOXICITY_dyu,SEVERE_TOXICITY_dyd,year
0,0.21270051283427943,0.2140498086226707,0.2113660604112214,1
1,0.20441378354359013,0.20580700830580279,0.20303473263152522,2
2,0.19824404101106555,0.1995816293513013,0.19692202750715487,3
3,0.2000230214216422,0.20155677945075778,0.19842135164835015,4
4,0.2009071440072158,0.20284958257521102,0.19901627462418794,5
5,0.20293272157369202,0.20502269785994834,0.20071460978090042,6
6,0.2021730508256182,0.20484418437514054,0.1995927021150371,7
7,0.20145032164419036,0.2045050814780314,0.1987086313984124,8
8,0.20372975602018537,0.20676121640658693,0.20080102146069598,9
9,0.20029167728403505,0.20371335541564153,0.1969563760659245,10
