,x,y,dyd,dyu,std
0,2007,0.21795042831757733,0.13079152562680885,0.31059747569753726,0.3418800904662591
1,2008,0.19315777928090427,0.14509500202922077,0.23975117341570468,0.3343487607936066
2,2009,0.2253778951182301,0.19164300815115448,0.25924084402284203,0.31921793940147963
3,2010,0.17737798360866244,0.15961999841543426,0.19638445816838399,0.3262556244099422
4,2011,0.1242725577637009,0.11257120754215984,0.13653561110220475,0.27866951094891973
5,2012,0.0953213129978638,0.08876030503729922,0.10255847798096288,0.26896927114065816
6,2013,0.09806336713493609,0.09295198723937939,0.10357775365445313,0.2709235860615379
7,2014,0.1008032267522849,0.0971286371206305,0.10468791494560602,0.2759085940798639
8,2015,0.1518719450380966,0.14780440636888612,0.15676011190526618,0.3142354527857104
9,2016,0.12144090838168525,0.11891944783699458,0.12405571201260629,0.3025442493424197
10,2017,0.07779045397301013,0.07662993870259827,0.07893645668674328,0.30747603912523136
11,2018,0.06213618731185533,0.06168109486032628,0.06260626745608593,0.2989204632065216
12,2019,0.04938904374354701,0.04864506881702209,0.05012786497420197,0.2959134185299885
