,x,y,dyd,dyu,std
0,2007,0.4349916563093903,0.3471925385780066,0.5259335488676622,0.3417817132192694
1,2008,0.3510759749278499,0.30366769660894666,0.4037800198412698,0.3614942912298125
2,2009,0.3913066965018123,0.35740395292617994,0.42924796368851176,0.3350640088302993
3,2010,0.4392156675006358,0.41977560216091964,0.4578940030506432,0.3195459820556863
4,2011,0.42518646663851817,0.4130031892722972,0.43741903770938895,0.29372267453994466
5,2012,0.43930586101588676,0.43280777117238756,0.44631627154539333,0.26763902665534756
6,2013,0.4353189274012028,0.43006480502954736,0.4409413358307603,0.27428367498672357
7,2014,0.4321656665689663,0.4285111915764647,0.43569578302121376,0.2730168745804794
8,2015,0.44064564467063516,0.43634535671977615,0.4448743855762203,0.29847777958894606
9,2016,0.42526594390147776,0.4227760329273897,0.4278592096120865,0.29667944342485236
10,2017,0.40745825417067494,0.4063175061848631,0.4086696189077637,0.30498340605519664
11,2018,0.3903929726266758,0.38994050880074205,0.39089571511146426,0.30422604494153693
12,2019,0.3820725006720072,0.38135119479811375,0.38286766628294905,0.30627895182556475
