,x,y,dyd,dyu,std
0,2007,0.3834222500708919,0.31527690977514916,0.4461595571505028,0.2828738569598795
1,2008,0.4828093347692865,0.44691436076696084,0.5179261953217195,0.35747856052153254
2,2009,0.4648002345577805,0.4609247749980996,0.4686085534953783,0.2963780823922897
3,2010,0.46242464488440277,0.4604905459530859,0.4645694308617949,0.28301878234315525
4,2011,0.45591493370542024,0.45354334060412893,0.45850389778850026,0.28317921201040674
5,2012,0.4540286510782616,0.4516061375166782,0.45637797397405133,0.28599768214544896
6,2013,0.4511669154261516,0.44934922520631926,0.45302027961869284,0.3044687652666434
7,2014,0.4495162583018475,0.4478102033432637,0.45132977017292225,0.3128848146084856
8,2015,0.4466064634896081,0.44487794190388286,0.4482678512721732,0.30639314342875484
9,2016,0.44059301679180896,0.43978040529428125,0.44137869294538395,0.3106979763131827
10,2017,0.42353530983368326,0.4231956210630656,0.4238936461526017,0.31631845187610586
11,2018,0.4071953039479134,0.4070101778075945,0.40737646682618955,0.3145677013127667
12,2019,0.4029221466411385,0.4026422004303699,0.4032330829088832,0.31619859297063063
