,x,y,dyd,dyu,std
0,2007,0.1081863219094565,0.09326905411818522,0.12316530804449048,0.34440987060791123
1,2008,0.0988677090111305,0.09148072649803655,0.10644263788411704,0.3180235581206146
2,2009,0.12075276993585127,0.1176767491906046,0.12405804251767585,0.3305456150374064
3,2010,0.10596199697117914,0.10408161250478952,0.10797051628918011,0.33223698609510466
4,2011,0.09691609581101639,0.09535285578252266,0.09845073827699494,0.32978025828046176
5,2012,0.0939350296570829,0.09302424085735336,0.09492851650516781,0.31328258316893104
6,2013,0.09088516116443687,0.0902270557063087,0.09159352736702227,0.31226317542273835
7,2014,0.09038381439738208,0.08964986245318209,0.09109694719528205,0.31454481509623233
8,2015,0.09801027271741834,0.09703378163093263,0.09900327736872667,0.32830578984396713
9,2016,0.07981788987238181,0.0790858233700582,0.08054650629215249,0.3304180626997182
10,2017,0.04970940059496473,0.04929853779297248,0.050121312853961895,0.33040940630752846
11,2018,0.04130530544938289,0.04112920986921225,0.04146711305444586,0.32093248055708595
12,2019,0.03914101565185088,0.03891886555984458,0.039360072936038035,0.315786024000316
