,x,y,dyd,dyu,std
0,2007,0.059584550218521506,0.02599517906336089,0.0934106271187611,0.2582353190118588
1,2008,0.047031586800817496,0.036518188933473576,0.05758784874215312,0.31580524702095236
2,2009,0.07885219087119946,0.07251146049912134,0.08564471362225538,0.30233386102748533
3,2010,0.08255247338361776,0.07833586260946891,0.08657691964371773,0.2934223945611937
4,2011,0.07698318252672202,0.07424308440322785,0.0796280873598834,0.28911082166212293
5,2012,0.06025468402666217,0.05855270058097757,0.06199926204644754,0.27940329628438737
6,2013,0.07417168992721908,0.07277922697477225,0.07565722173566743,0.28508350296227747
7,2014,0.0872415681022737,0.08587612977285373,0.08867819615068609,0.3143426609314436
8,2015,0.06859164548568011,0.06746222611590183,0.06983149319221532,0.3129185979787142
9,2016,0.06151909290573436,0.060799892734804864,0.06220016777304842,0.3074577884889326
10,2017,0.07223882218434591,0.07176856747743508,0.07273907743193017,0.3124076654704661
11,2018,0.06130595300816353,0.061075309480819406,0.061556497511944475,0.30690440394965374
12,2019,0.04829455361257274,0.04800356400006651,0.04857625370687288,0.3020231692001756
