,x,y,dyd,dyu,std
0,2007,0.08637284263541808,0.03938529747508622,0.14054054969547924,0.21647295021011137
1,2008,0.18586166251947814,0.1468579876031032,0.22819280929383592,0.39614918543574584
2,2009,0.1463156793099038,0.14242833515561898,0.15103248673956665,0.3324791379140199
3,2010,0.09049722822181859,0.08838070470045703,0.09267569407099475,0.31237443099072704
4,2011,0.09617651851260664,0.09367682065051683,0.09868131147242558,0.29839931838277056
5,2012,0.08775540325789934,0.08522204890251696,0.09042934933218778,0.29956261670491785
6,2013,0.04065353920424752,0.03880281058935899,0.04249077256044377,0.31469886228103283
7,2014,0.04193906592221973,0.040278458218620736,0.04363494372413559,0.32269896943871035
8,2015,0.05962639405388518,0.05786919191869458,0.061329452993853055,0.3228898392257188
9,2016,0.05599285876072466,0.05512710990031043,0.05684388212448789,0.3262302989998123
10,2017,0.052756463253558136,0.05238538518506132,0.05311861880396951,0.3260906731688564
11,2018,0.04520843373612082,0.045015202170655876,0.04541398456631125,0.31513989151066596
12,2019,0.048143280099855176,0.04785672077477779,0.048418007023606775,0.31677594095714245
