,x,y,dyd,dyu,std
0,2007,0.45357787370136204,0.4401569035879925,0.46728568805727677,0.3240572252772944
1,2008,0.44504672515552934,0.43852513279526933,0.4520077274705114,0.30746585875763505
2,2009,0.44443931440988105,0.44156746935383046,0.44746425676369966,0.30944524458054606
3,2010,0.4537603982554283,0.4521460990901707,0.4554988601235548,0.3042790713040745
4,2011,0.4444746018103623,0.4431791108374772,0.44587814748956933,0.3108348779335064
5,2012,0.44187834079134825,0.44098569565256013,0.4428605481077556,0.30664150467607815
6,2013,0.4327167010614784,0.43204049496613467,0.43339775485333587,0.3094388553937464
7,2014,0.4185654130935619,0.4178638079753461,0.41926347389986324,0.3154397280551469
8,2015,0.4229126221531586,0.42192078075878453,0.4238605828714239,0.3193980844082744
9,2016,0.40675630203076374,0.4060313654327351,0.40747921379194274,0.32632809567690374
10,2017,0.38568468706834463,0.3852806128736599,0.3860558996991431,0.32945952016925745
11,2018,0.37844544295650184,0.3782818197433188,0.37862449035706053,0.3293562034580539
12,2019,0.36449653681812055,0.36425991582717093,0.36473184390817126,0.32909482725258293
